time,loggerTemp
0.539, 34.6875
1.54, 34.6875
2.54, 34.6875
3.541, 34.6875
4.543, 34.71875
5.543, 34.71875
6.543, 34.71875
7.543, 34.6875
8.543, 34.71875
9.543, 34.71875
10.543, 34.71875
11.543, 34.71875
12.543, 34.71875
13.543, 34.71875
14.543, 34.71875
15.543, 34.71875
16.543, 34.71875
17.543, 34.71875
18.545, 34.71875
19.546, 34.71875
20.546, 34.71875
21.545, 34.6875
22.545, 34.71875
23.545, 34.71875
24.545, 34.71875
25.545, 34.71875
26.545, 34.71875
27.545, 34.71875
28.545, 34.71875
29.545, 34.71875
30.545, 34.71875
31.545, 34.75
32.545, 34.75
33.545, 34.75
34.545, 34.75
35.545, 34.71875
36.545, 34.75
37.545, 34.75
38.547, 34.75
39.545, 34.75
40.545, 34.75
41.545, 34.75
42.545, 34.75
43.545, 34.75
44.545, 34.75
45.545, 34.75
46.545, 34.78125
47.545, 34.78125
48.545, 34.78125
49.545, 34.78125
50.545, 34.78125
51.545, 34.78125
52.547, 34.78125
53.547, 34.78125
54.547, 34.78125
55.547, 34.78125
56.547, 34.78125
57.549, 34.78125
58.553, 34.78125
59.549, 34.8125
60.549, 34.75
61.549, 34.75
62.549, 34.78125
63.549, 34.78125
64.549, 34.8125
65.549, 34.8125
66.549, 34.84375
67.549, 34.84375
68.549, 34.84375
69.549, 34.84375
70.549, 34.84375
71.549, 34.84375
72.549, 34.84375
73.549, 34.84375
74.549, 34.84375
75.549, 34.84375
76.549, 34.84375
77.549, 34.84375
78.549, 34.84375
79.549, 34.84375
80.549, 34.84375
81.549, 34.84375
82.549, 34.84375
83.549, 34.84375
84.549, 34.84375
85.549, 34.84375
86.549, 34.84375
87.549, 34.84375
88.549, 34.84375
89.549, 34.84375
90.549, 34.84375
91.549, 34.8125
92.549, 34.8125
93.549, 34.8125
94.549, 34.8125
95.549, 34.8125
96.549, 34.8125
97.549, 34.8125
98.549, 34.8125
99.549, 34.8125
100.549, 34.78125
101.549, 34.78125
102.549, 34.78125
103.549, 34.78125
104.549, 34.78125
105.549, 34.78125
106.549, 34.75
107.549, 34.75
108.549, 34.75
109.549, 34.75
110.549, 34.75
111.549, 34.75
112.549, 34.71875
113.549, 34.71875
114.549, 34.71875
115.549, 34.71875
116.549, 34.71875
117.549, 34.71875
118.549, 34.6875
119.549, 34.6875
120.549, 34.6875
121.549, 34.6875
122.549, 34.6875
123.549, 34.65625
124.549, 34.65625
125.549, 34.65625
126.549, 34.65625
127.549, 34.625
128.549, 34.625
129.549, 34.625
130.549, 34.625
131.549, 34.59375
132.549, 34.59375
133.549, 34.59375
134.549, 34.59375
135.549, 34.5625
136.549, 34.5625
137.549, 34.5625
138.549, 34.53125
139.549, 34.53125
140.549, 34.53125
141.549, 34.5
142.549, 34.5
143.549, 34.5
144.549, 34.46875
145.549, 34.46875
146.549, 34.46875
147.549, 34.46875
148.549, 34.4375
149.549, 34.4375
150.549, 34.4375
151.549, 34.40625
152.549, 34.40625
153.549, 34.375
154.549, 34.375
155.549, 34.375
156.549, 34.34375
157.549, 34.34375
158.549, 34.34375
159.549, 34.3125
160.549, 34.3125
161.549, 34.28125
162.549, 34.28125
163.549, 34.28125
164.549, 34.25
165.549, 34.25
166.549, 34.25
167.549, 34.21875
168.549, 34.21875
169.549, 34.1875
170.549, 34.1875
171.549, 34.1875
172.549, 34.15625
173.549, 34.15625
174.549, 34.125
175.549, 34.125
176.549, 34.125
177.549, 34.09375
178.549, 34.09375
179.549, 34.0625
180.549, 34.0625
181.549, 34.0625
182.549, 34.03125
183.549, 34.03125
184.549, 34
185.549, 34
186.549, 34
187.549, 33.96875
188.549, 33.96875
189.549, 33.9375
190.549, 33.9375
191.549, 33.90625
192.549, 33.90625
193.549, 33.90625
194.549, 33.875
195.549, 33.875
196.549, 33.84375
197.549, 33.84375
198.549, 33.8125
199.549, 33.8125
200.549, 33.78125
201.549, 33.78125
202.549, 33.78125
203.549, 33.75
204.549, 33.75
205.549, 33.71875
206.549, 33.71875
207.549, 33.71875
208.549, 33.6875
209.549, 33.6875
210.549, 33.6875
211.549, 33.65625
212.549, 33.65625
213.549, 33.625
214.549, 33.625
215.549, 33.59375
216.549, 33.59375
217.549, 33.5625
218.549, 33.5625
219.549, 33.5625
220.549, 33.53125
221.549, 33.53125
222.549, 33.5
223.549, 33.5
224.549, 33.5
225.549, 33.46875
226.549, 33.46875
227.549, 33.4375
228.549, 33.4375
229.549, 33.4375
230.549, 33.40625
231.549, 33.40625
232.549, 33.375
233.549, 33.375
234.549, 33.375
235.549, 33.34375
236.549, 33.34375
237.549, 33.34375
238.549, 33.3125
239.549, 33.3125
240.549, 33.28125
241.549, 33.28125
242.549, 33.25
243.549, 33.25
244.549, 33.25
245.549, 33.21875
246.549, 33.21875
247.549, 33.21875
248.549, 33.1875
249.549, 33.1875
250.549, 33.1875
251.549, 33.15625
252.549, 33.15625
253.549, 33.15625
254.549, 33.125
255.549, 33.125
256.549, 33.09375
257.549, 33.09375
258.549, 33.0625
259.549, 33.0625
260.549, 33.0625
261.549, 33.03125
262.549, 33.03125
263.549, 33
264.549, 33
265.549, 33
266.549, 32.96875
267.549, 32.96875
268.549, 32.9375
269.549, 32.9375
270.549, 32.9375
271.549, 32.9375
272.549, 32.90625
273.549, 32.90625
274.549, 32.875
275.549, 32.875
276.549, 32.84375
277.549, 32.84375
278.549, 32.84375
279.549, 32.8125
280.549, 32.8125
281.549, 32.78125
282.549, 32.78125
283.549, 32.78125
284.549, 32.78125
285.549, 32.75
286.549, 32.75
287.549, 32.71875
288.549, 32.71875
289.549, 32.71875
290.549, 32.6875
291.549, 32.6875
292.549, 32.65625
293.549, 32.65625
294.549, 32.65625
295.549, 32.65625
296.549, 32.625
297.549, 32.625
298.549, 32.59375
299.549, 32.59375
300.549, 32.59375
301.549, 32.5625
302.549, 32.5625
303.549, 32.5625
304.549, 32.5625
305.549, 32.53125
306.549, 32.53125
307.549, 32.5
308.549, 32.5
309.549, 32.5
310.549, 32.5
311.549, 32.46875
312.549, 32.46875
313.549, 32.46875
314.549, 32.4375
315.549, 32.4375
316.549, 32.4375
317.549, 32.40625
318.549, 32.40625
319.549, 32.40625
320.549, 32.375
321.549, 32.375
322.549, 32.375
323.549, 32.375
324.549, 32.34375
325.549, 32.34375
326.549, 32.34375
327.549, 32.3125
328.549, 32.3125
329.549, 32.3125
330.549, 32.28125
331.549, 32.28125
332.549, 32.28125
333.549, 32.25
334.549, 32.25
335.549, 32.25
336.549, 32.21875
337.549, 32.21875
338.549, 32.21875
339.549, 32.1875
340.549, 32.1875
341.549, 32.1875
342.549, 32.15625
343.549, 32.15625
344.549, 32.15625
345.549, 32.15625
346.549, 32.125
347.549, 32.125
348.549, 32.125
349.549, 32.09375
350.549, 32.09375
351.549, 32.09375
352.549, 32.09375
353.549, 32.0625
354.549, 32.0625
355.549, 32.0625
356.549, 32.03125
357.549, 32.03125
358.549, 32.03125
359.549, 32.03125
360.549, 32
361.549, 32
362.549, 32
363.549, 32
364.549, 31.984375
365.549, 31.984375
366.549, 31.96875
367.549, 31.96875
368.549, 31.953125
369.549, 31.953125
370.549, 31.9375
371.549, 31.9375
372.549, 31.921875
373.549, 31.921875
374.549, 31.90625
375.549, 31.90625
376.549, 31.890625
377.549, 31.890625
378.549, 31.875
379.549, 31.875
380.549, 31.859375
381.549, 31.859375
382.549, 31.84375
383.549, 31.84375
384.549, 31.828125
385.549, 31.828125
386.549, 31.8125
387.549, 31.8125
388.549, 31.796875
389.549, 31.796875
390.549, 31.78125
391.549, 31.765625
392.549, 31.765625
393.549, 31.765625
394.549, 31.75
395.549, 31.734375
396.549, 31.734375
397.549, 31.71875
398.549, 31.71875
399.549, 31.71875
400.549, 31.703125
401.549, 31.703125
402.549, 31.6875
403.549, 31.6875
404.549, 31.671875
405.549, 31.65625
406.549, 31.65625
407.549, 31.65625
408.549, 31.640625
409.549, 31.640625
410.549, 31.640625
411.549, 31.625
412.549, 31.609375
413.549, 31.609375
414.549, 31.59375
415.549, 31.59375
416.549, 31.578125
417.549, 31.578125
418.549, 31.578125
419.549, 31.5625
420.549, 31.546875
421.549, 31.546875
422.549, 31.546875
423.549, 31.53125
424.549, 31.53125
425.549, 31.515625
426.549, 31.515625
427.549, 31.5
428.549, 31.5
429.549, 31.484375
430.549, 31.484375
431.549, 31.46875
432.549, 31.46875
433.549, 31.46875
434.549, 31.453125
435.549, 31.453125
436.549, 31.453125
437.549, 31.4375
438.549, 31.421875
439.549, 31.421875
440.549, 31.421875
441.549, 31.421875
442.549, 31.40625
443.549, 31.40625
444.549, 31.390625
445.549, 31.390625
446.549, 31.390625
447.549, 31.375
448.549, 31.375
449.549, 31.359375
450.549, 31.359375
451.549, 31.34375
452.549, 31.34375
453.549, 31.34375
454.549, 31.34375
455.549, 31.328125
456.549, 31.328125
457.549, 31.3125
458.549, 31.3125
459.549, 31.3125
460.549, 31.296875
461.549, 31.296875
462.549, 31.28125
463.549, 31.28125
464.549, 31.28125
465.549, 31.265625
466.549, 31.265625
467.549, 31.265625
468.549, 31.25
469.549, 31.25
470.549, 31.25
471.549, 31.234375
472.549, 31.234375
473.549, 31.21875
474.549, 31.21875
475.549, 31.21875
476.549, 31.203125
477.549, 31.203125
478.549, 31.203125
479.549, 31.203125
480.549, 31.203125
481.549, 31.203125
482.549, 31.1875
483.549, 31.1875
484.549, 31.1875
485.549, 31.171875
486.549, 31.171875
487.549, 31.171875
488.549, 31.15625
489.549, 31.15625
490.549, 31.15625
491.549, 31.15625
492.549, 31.140625
493.549, 31.140625
494.549, 31.125
495.549, 31.125
496.549, 31.125
497.549, 31.125
498.549, 31.109375
499.549, 31.109375
500.549, 31.109375
501.549, 31.09375
502.549, 31.09375
503.549, 31.09375
504.549, 31.09375
505.549, 31.078125
506.549, 31.078125
507.549, 31.078125
508.549, 31.0625
509.549, 31.0625
510.549, 31.0625
511.549, 31.0625
512.549, 31.046875
513.549, 31.046875
514.549, 31.046875
515.549, 31.046875
516.549, 31.03125
517.549, 31.03125
518.549, 31.015625
519.549, 31.015625
520.549, 31.015625
521.549, 31
522.549, 31
523.549, 31
524.549, 31
525.549, 30.984375
526.549, 30.984375
527.549, 30.984375
528.549, 30.984375
529.549, 30.984375
530.549, 30.96875
531.549, 30.96875
532.549, 30.96875
533.549, 30.96875
534.549, 30.953125
535.549, 30.953125
536.549, 30.953125
537.549, 30.9375
538.549, 30.9375
539.549, 30.9375
540.549, 30.9375
541.549, 30.921875
542.549, 30.921875
543.549, 30.921875
544.549, 30.90625
545.549, 30.90625
546.549, 30.90625
547.549, 30.890625
548.549, 30.890625
549.549, 30.890625
550.549, 30.890625
551.549, 30.890625
552.549, 30.875
553.549, 30.875
554.549, 30.875
555.549, 30.875
556.549, 30.875
557.549, 30.859375
558.549, 30.859375
559.549, 30.859375
560.549, 30.84375
561.549, 30.859375
562.549, 30.84375
563.549, 30.84375
564.549, 30.828125
565.549, 30.828125
566.549, 30.828125
567.549, 30.8125
568.549, 30.8125
569.549, 30.8125
570.549, 30.8125
571.549, 30.8125
572.549, 30.796875
573.549, 30.796875
574.549, 30.796875
575.549, 30.796875
576.549, 30.78125
577.549, 30.78125
578.549, 30.78125
579.549, 30.765625
580.549, 30.765625
581.549, 30.765625
582.549, 30.765625
583.549, 30.765625
584.549, 30.75
585.549, 30.75
586.549, 30.75
587.549, 30.75
588.549, 30.734375
589.549, 30.734375
590.549, 30.734375
591.549, 30.734375
592.549, 30.734375
593.549, 30.734375
594.549, 30.71875
595.549, 30.71875
596.549, 30.71875
597.549, 30.71875
598.549, 30.71875
599.549, 30.71875
600.549, 30.703125
601.549, 30.703125
602.549, 30.703125
603.549, 30.703125
604.549, 30.703125
605.549, 30.6875
606.549, 30.6875
607.549, 30.6875
608.549, 30.6875
609.549, 30.6875
610.549, 30.6875
611.549, 30.671875
612.549, 30.671875
613.549, 30.671875
614.549, 30.671875
615.549, 30.65625
616.549, 30.65625
617.549, 30.65625
618.549, 30.65625
619.549, 30.65625
620.549, 30.640625
621.549, 30.640625
622.549, 30.640625
623.549, 30.640625
624.549, 30.640625
625.549, 30.625
626.549, 30.625
627.549, 30.625
628.549, 30.625
629.549, 30.625
630.549, 30.625
631.549, 30.625
632.549, 30.609375
633.549, 30.609375
634.549, 30.609375
635.549, 30.609375
636.549, 30.609375
637.549, 30.609375
638.549, 30.59375
639.549, 30.59375
640.549, 30.59375
641.549, 30.578125
642.549, 30.578125
643.549, 30.578125
644.549, 30.578125
645.549, 30.5625
646.549, 30.5625
647.549, 30.5625
648.549, 30.5625
649.549, 30.546875
650.549, 30.546875
651.549, 30.546875
652.549, 30.546875
653.549, 30.546875
654.549, 30.546875
655.549, 30.53125
656.549, 30.53125
657.549, 30.53125
658.549, 30.53125
659.549, 30.53125
660.549, 30.53125
661.549, 30.53125
662.549, 30.53125
663.549, 30.53125
664.549, 30.515625
665.549, 30.515625
666.549, 30.515625
667.549, 30.515625
668.549, 30.515625
669.549, 30.5
670.549, 30.5
671.549, 30.5
672.549, 30.5
673.549, 30.5
674.549, 30.5
675.549, 30.484375
676.549, 30.484375
677.549, 30.484375
678.549, 30.484375
679.549, 30.484375
680.549, 30.484375
681.549, 30.484375
682.549, 30.484375
683.549, 30.484375
684.549, 30.46875
685.549, 30.46875
686.549, 30.46875
687.549, 30.46875
688.549, 30.46875
689.549, 30.46875
690.549, 30.46875
691.549, 30.46875
692.549, 30.46875
693.549, 30.46875
694.549, 30.46875
695.549, 30.46875
696.549, 30.46875
697.549, 30.46875
698.549, 30.3125
700.363, 30.28125
701.363, 30.375
702.363, 30.421875
703.363, 30.4375
704.363, 30.453125
705.363, 30.453125
706.363, 30.46875
707.363, 30.46875
708.363, 30.46875
709.363, 30.46875
710.363, 30.46875
711.363, 30.46875
712.363, 30.46875
713.363, 30.46875
714.363, 30.46875
715.363, 30.484375
716.363, 30.484375
717.363, 30.484375
718.363, 30.484375
719.363, 30.484375
720.363, 30.484375
721.363, 30.484375
722.363, 30.484375
723.363, 30.484375
724.363, 30.484375
725.363, 30.5
726.363, 30.484375
727.363, 30.5
728.363, 30.5
729.363, 30.5
730.363, 30.5
731.364, 30.5
732.363, 30.515625
733.363, 30.515625
734.363, 30.515625
735.363, 30.515625
736.363, 30.515625
737.363, 30.515625
738.363, 30.515625
739.363, 30.515625
740.363, 30.53125
741.363, 30.53125
742.363, 30.53125
743.363, 30.53125
744.363, 30.53125
745.363, 30.546875
746.363, 30.546875
747.363, 30.546875
748.363, 30.546875
749.363, 30.546875
750.363, 30.546875
751.363, 30.5625
752.363, 30.5625
753.363, 30.578125
754.363, 30.578125
755.363, 30.578125
756.363, 30.578125
757.363, 30.546875
758.363, 30.53125
759.367, 30.53125
760.367, 30.53125
761.367, 30.546875
